Company Entity,Website,Entity Type
Klarna,https://www.klarna.com/uk/,Prospect
Lloyds Bank,https://www.lloydsbank.com/,Prospect
Metro Bank,https://www.metrobankonline.co.uk/,Prospect
Monzo,https://monzo.com/,Prospect
OakNorth,https://oaknorth.co.uk/,Prospect
OVO Energy,https://www.ovoenergy.com/,Prospect
Plum,https://withplum.com/,Prospect
Rapyd,https://www.rapyd.net/,Prospect
Santander,https://www.santander.co.uk/,Prospect
ScottishPower,https://www.scottishpower.co.uk/,Prospect
Severn Trent,https://www.severntrent.com/,Prospect
SmartestEnergy,https://www.smartestenergy.com/en_GB/,Prospect
So Energy,https://www.so.energy/,Prospect
Southern Water,https://www.southernwater.co.uk/,Prospect
SSE plc,https://www.sse.com/,Prospect
Starling Bank,https://www.starlingbank.com/,Prospect
Tandem,https://www.tandem.co.uk/,Prospect
United Utilities,https://www.unitedutilities.com/,Prospect
Utility Warehouse,https://uw.co.uk/,Prospect
Valda Energy,https://www.valdaenergy.com/,Prospect
Water Plus,https://www.water-plus.co.uk/,Prospect
Wave Utilities,https://www.wave-utilities.co.uk/,Prospect
Yu Energy,https://www.yuenergy.co.uk/,Prospect
Zilch,https://www.zilch.com/uk/,Prospect
